@relation cilinder...without.missing.values
@attribute timestamp numeric
@attribute customer {'ABBEY','ABBEYPRESS','ABBYPRESS','ADCO','AMES','AUSTADS','BELK','BELKS','best','bestprod','BESTPROD','BRENDLS','BURDINES','CAMPINGWORLD','CASLIVING','CASUALLIVING','CENPURCH','CHILDCRAFT','CHILDWORLD','colorfulimage','COLORTIL','COLORTILE','COMPETITIVEDGE','CVS','DOWNS','DUNNS','eckerd','ECKERD','eckerds','ECKERDS','EXXON','GALLS','GLOBAL','GLOBALEQUP','GUIDEPOSTS','GURNEY','HANHOUSE','hanoverhouse','HANOVERHOUSE','HANOVERHSE','HANOVRHOUS','HANOVRHOUSE','HILLS','homeshop','HOMESHOP','homeshopping','HOMESHOPPING','JAMESWAY','jcp','JCP','JCPENNY','jfk','KIDSRUS','kmart','KMART','LAZARUS','LURIAS','MASSEY','MERVYNS','modmat','MODMAT','NATLWILDLIFE','NTLWILDLIFE','OLDVILLAGESHOP','PENNEY','REI','ROSES','SEARS','SERVMERCH','SHEPLERS','target','TARGET','toysrus','TOYSRUS','TVGUIDE','USCAV','venture','walmart','WALMART','WARDS','WOOLWORTH','WOOLWRTH','YIELDHOUSE'}
@attribute job_number numeric
@attribute grain_screened {'NO','YES'}
@attribute ink_color {'key','KeY','KEY'}
@attribute proof_on_ctd_ink {'NO','YES'}
@attribute blade_mfg {'BENTON','UDDEHOLM'}
@attribute cylinder_division {'gallatin','GALLATIN'}
@attribute paper_type {'coated','COATED','super','uncoated','UNCOATED'}
@attribute ink_type {'coated','COATED','cover','COVER','uncoated','UNCOATED'}
@attribute direct_steam {'no','NO','YES'}
@attribute solvent_type {'LINE','NAPTHA','XYLOL'}
@attribute type_on_cylinder {'no','NO','yes','YES'}
@attribute press_type {'Albert70','Motter70','Motter94','WoodHoe70'}
@attribute press numeric
@attribute unit_number numeric
@attribute cylinder_size {'catalog','CATALOG','spiegel','SPIEGEL','tabloid','TABLOID'}
@attribute paper_mill_location {'CANAdiAN','CANADIAN','mideuropean','NorthUS','SCANDANAVIAN','SouthUS'}
@attribute plating_tank numeric
@attribute proof_cut numeric
@attribute viscosity numeric
@attribute caliper numeric
@attribute "ink temperature" numeric
@attribute humifity numeric
@attribute roughness numeric
@attribute blade_pressure numeric
@attribute varnish_pct numeric
@attribute press_speed numeric
@attribute ink_pct numeric
@attribute solvent_pct numeric
@attribute ESA_Voltage numeric
@attribute ESA_Amperage numeric
@attribute wax numeric
@attribute hardener numeric
@attribute roller_durometer numeric
@attribute current_density numeric
@attribute anode_space_ratio numeric
@attribute chrome_content numeric
@attribute class {'band','noband'}
@data
19910108,'TVGUIDE',25503,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','Motter94',821,2,'TABLOID','NorthUS',1911,55,46,0.2,17,78,0.75,20,13.1,1700,50.5,36.4,0,0,2.5,1,34,40,105,100,'band'
19910104,'MASSEY',39039,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','WoodHoe70',816,9,'CATALOG','NorthUS',1910,52,40,0.3,16,75,0.3125,30,5.6,1467,55.6,38.8,0,0,2.5,1.3,40,40,108.06,100,'noband'
19910104,'MASSEY',38039,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','WoodHoe70',816,2,'CATALOG','NorthUS',1910,50,40,0.267,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5,0,2.5,0.8,40,40,103.87,100,'noband'
19910111,'ROSES',35751,'NO','KEY','YES','BENTON','GALLATIN','COATED','COATED','NO','LINE','YES','Motter94',827,2,'TABLOID','CANADIAN',1911,50,46,0.3,16.5,75,0.75,30,0,2600,62.5,37.5,6,0,2.5,0.6,30,40,106.67,100,'noband'
19910111,'ROSES',35751,'NO','KEY','YES','BENTON','GALLATIN','COATED','COATED','NO','LINE','YES','Motter94',827,9,'TABLOID','CANAdiAN',1911,50,46,0.2,16.5,75,0.75,28,0,2600,62.5,37.5,6,0,2.5,1.1,30,40,106.67,100,'noband'
19910112,'MODMAT',47201,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','XYLOL','YES','Albert70',802,7,'CATALOG','NorthUS',1910,50,45,0.367,12,70,0.75,60,0,1650,60.2,39.8,1.5,0,3,1,40,40,103.22,100,'band'
19910114,'CHILDCRAFT',37000,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','WoodHoe70',815,2,'CATALOG','NorthUS',1911,65,43,0.333,16,75,1,32,22.7,1750,45.5,31.8,0,0,3,1,38,40,106.66,100,'noband'
19910114,'CHILDCRAFT',37000,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','WoodHoe70',815,9,'CATALOG','NorthUS',1910,65,43,0.2,16,68,0.75,30,15.5,1750,48.5,35.9,0,0,3,1,38,40,106.6,100,'noband'
19910111,'HANOVRHOUSE',35539,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','Motter94',821,2,'TABLOID','NorthUS',1911,50,50,0.367,14,80,0.75,40,10.5,1700,52.6,36.8,0,0,2.5,1,38,40,105,100,'band'
19910117,'HANOVRHOUS',35539,'YES','KEY','YES','BENTON','GALLATIN','UNCOATED','UNCOATED','NO','LINE','YES','Motter94',821,7,'TABLOID','NorthUS',1911,50,50,0.3,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,40,106.66,100,'band'
