@relation pittsburgh_bridges_1.1
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'DECK','THROUGH'}
@data
'M',3,1818,'HIGHWAY',?,2,'N','THROUGH'
'A',25,1819,'HIGHWAY',1037,2,'N','THROUGH'
'A',39,1829,'AQUEDUCT',?,1,'N','THROUGH'
'A',29,1837,'HIGHWAY',1000,2,'N','THROUGH'
'M',23,1838,'HIGHWAY',?,2,'N','THROUGH'
'A',27,1840,'HIGHWAY',990,2,'N','THROUGH'
'A',28,1844,'AQUEDUCT',1000,1,'N','THROUGH'
'M',3,1846,'HIGHWAY',1500,2,'N','THROUGH'
'A',39,1848,'AQUEDUCT',?,1,'N','DECK'
'A',29,1851,'HIGHWAY',1000,2,'N','THROUGH'
'A',39,1853,'RR',?,2,'N','DECK'
'M',6,1856,'HIGHWAY',1200,2,'N','THROUGH'
'A',33,1856,'HIGHWAY',?,2,'N','THROUGH'
'A',28,1857,'RR',?,2,'N','THROUGH'
'A',25,1859,'HIGHWAY',1030,2,'N','THROUGH'
'M',4,1863,'RR',1000,2,'N','THROUGH'
'A',28,1864,'RR',1200,2,'N','THROUGH'
'A',29,1866,'HIGHWAY',1000,2,'N','THROUGH'
'A',32,1870,'HIGHWAY',1000,2,'N','THROUGH'
'M',16,1874,'RR',?,2,?,'THROUGH'
'M',1,1876,'HIGHWAY',1245,?,?,'THROUGH'
'A',24,1876,'HIGHWAY',1200,4,'G','THROUGH'
'O',45,1878,'RR',?,2,'G',?
'M',10,1882,'RR',?,2,'G',?
'A',39,1883,'RR',?,2,'G','THROUGH'
'M',12,1883,'RR',1150,2,'G','THROUGH'
'A',31,1884,'RR',?,2,'G','THROUGH'
'A',26,1884,'HIGHWAY',1080,2,'G','THROUGH'
'M',3,1884,'HIGHWAY',1000,2,'G','THROUGH'
'A',30,1887,'HIGHWAY',?,2,'G','THROUGH'
'M',8,1887,'RR',1161,2,'G','THROUGH'
'O',41,1888,'RR',4558,2,'G','THROUGH'
'M',19,1889,'HIGHWAY',1120,?,'G','THROUGH'
'O',45,1890,'HIGHWAY',?,2,'G','THROUGH'
'A',27,1890,'HIGHWAY',1000,2,'G','THROUGH'
'M',17,1891,'HIGHWAY',?,2,'G','THROUGH'
'M',18,1891,'RR',1350,2,'G','THROUGH'
'A',25,1892,'HIGHWAY',?,2,'G','THROUGH'
'A',27,1892,'AQUEDUCT',1092,1,'N','THROUGH'
'M',22,1893,'HIGHWAY',?,2,'G','THROUGH'
'M',11,1894,'HIGHWAY',?,2,'G','THROUGH'
'M',9,1895,'HIGHWAY',2367,2,'G','THROUGH'
'O',48,1896,'HIGHWAY',?,2,'G','THROUGH'
'M',7,1896,'HIGHWAY',1040,2,'G','THROUGH'
'A',37,1897,'RR',4000,2,'G','DECK'
'M',14,1897,'RR',2264,?,'G','THROUGH'
'M',15,1898,'RR',2000,2,'G','THROUGH'
'A',33,1900,'HIGHWAY',1200,2,'G','THROUGH'
'A',38,1900,'HIGHWAY',2000,2,'G','THROUGH'
'M',13,1901,'RR',?,2,'G','THROUGH'
'A',34,1902,'HIGHWAY',1850,2,'G','THROUGH'
'M',16,1903,'RR',1300,2,'G','THROUGH'
'A',35,1903,'RR',3000,2,'G','THROUGH'
'M',6,1903,'RR',1417,2,'G','THROUGH'
'M',21,1903,'RR',1154,?,'G','THROUGH'
'M',4,1904,'RR',1200,2,'G','THROUGH'
'A',28,1904,'RR',965,4,'G','THROUGH'
'M',2,1904,'RR',1504,?,'G','THROUGH'
'Y',?,1908,'HIGHWAY',1240,?,'G',?
'M',23,1909,'HIGHWAY',?,?,'G','THROUGH'
'A',36,1909,'HIGHWAY',1730,2,'G','THROUGH'
'O',49,1910,'RR',1620,2,'G','THROUGH'
'O',43,1911,'HIGHWAY',1652,2,'G','THROUGH'
'A',39,1914,'RR',?,?,'G',?
'M',10,1914,'RR',2210,?,'G','THROUGH'
'O',41,1915,'RR',2822,2,'G','THROUGH'
'A',24,1915,'HIGHWAY',1000,4,'G','THROUGH'
'A',37,1918,'RR',2300,2,'N','DECK'
'A',31,1920,'RR',2122,2,'G','THROUGH'
'A',30,1921,'WALK',?,?,'G','THROUGH'
'A',29,1923,'HIGHWAY',885,4,'G','THROUGH'
