@relation pittsburgh_bridges2.2
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 {'CRAFTS','EMERGING','MATURE','MODERN'}
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 {'LONG','MEDIUM','SHORT'}
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'IRON','STEEL','WOOD'}
@data
'M',3,'CRAFTS','HIGHWAY',?,2,'N','WOOD'
'A',25,'CRAFTS','HIGHWAY','MEDIUM',2,'N','WOOD'
'A',39,'CRAFTS','AQUEDUCT',?,1,'N','WOOD'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','WOOD'
'M',23,'CRAFTS','HIGHWAY',?,2,'N','WOOD'
'A',27,'CRAFTS','HIGHWAY','SHORT',2,'N','WOOD'
'A',28,'CRAFTS','AQUEDUCT','MEDIUM',1,'N','IRON'
'M',3,'CRAFTS','HIGHWAY','MEDIUM',2,'N','IRON'
'A',39,'CRAFTS','AQUEDUCT',?,1,'N','WOOD'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','WOOD'
'A',39,'CRAFTS','RR',?,2,'N','WOOD'
'M',6,'CRAFTS','HIGHWAY','MEDIUM',2,'N','WOOD'
'A',33,'CRAFTS','HIGHWAY',?,2,'N','WOOD'
'A',28,'CRAFTS','RR',?,2,'N','WOOD'
'A',25,'CRAFTS','HIGHWAY','MEDIUM',2,'N','IRON'
'M',4,'CRAFTS','RR','MEDIUM',2,'N','IRON'
'A',28,'CRAFTS','RR','MEDIUM',2,'N','IRON'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','WOOD'
'A',32,'EMERGING','HIGHWAY','MEDIUM',2,'N','WOOD'
'M',16,'EMERGING','RR',?,2,?,'IRON'
'M',1,'EMERGING','HIGHWAY','MEDIUM',?,?,'STEEL'
'A',24,'EMERGING','HIGHWAY','MEDIUM',4,'G','WOOD'
'O',45,'EMERGING','RR',?,2,'G','STEEL'
'M',10,'EMERGING','RR',?,2,'G','STEEL'
'A',39,'EMERGING','RR',?,2,'G','STEEL'
'M',12,'EMERGING','RR','MEDIUM',2,'G','STEEL'
'A',31,'EMERGING','RR',?,2,'G','STEEL'
'A',26,'EMERGING','HIGHWAY','MEDIUM',2,'G','STEEL'
'M',3,'EMERGING','HIGHWAY','MEDIUM',2,'G','STEEL'
'A',30,'EMERGING','HIGHWAY',?,2,'G','IRON'
'M',8,'EMERGING','RR','MEDIUM',2,'G','STEEL'
'O',41,'EMERGING','RR','LONG',2,'G','STEEL'
'M',19,'EMERGING','HIGHWAY','MEDIUM',?,'G','IRON'
'O',45,'MATURE','HIGHWAY',?,2,'G','IRON'
'A',27,'MATURE','HIGHWAY','MEDIUM',2,'G','STEEL'
'M',17,'MATURE','HIGHWAY',?,2,'G','IRON'
'M',18,'MATURE','RR','MEDIUM',2,'G','STEEL'
'A',25,'MATURE','HIGHWAY',?,2,'G','STEEL'
'A',27,'MATURE','AQUEDUCT','MEDIUM',1,'N','WOOD'
'M',22,'MATURE','HIGHWAY',?,2,'G','STEEL'
'M',11,'MATURE','HIGHWAY',?,2,'G','IRON'
'M',9,'MATURE','HIGHWAY','LONG',2,'G','STEEL'
'O',48,'MATURE','HIGHWAY',?,2,'G','STEEL'
'M',7,'MATURE','HIGHWAY','MEDIUM',2,'G','STEEL'
'A',37,'MATURE','RR','LONG',2,'G','STEEL'
'M',14,'MATURE','RR','LONG',?,'G','STEEL'
'M',15,'MATURE','RR','LONG',2,'G','STEEL'
'A',33,'MATURE','HIGHWAY','MEDIUM',2,'G','STEEL'
'A',38,'MATURE','HIGHWAY','LONG',2,'G','STEEL'
'M',13,'MATURE','RR',?,2,'G','STEEL'
'A',34,'MATURE','HIGHWAY','MEDIUM',2,'G','STEEL'
'M',16,'MATURE','RR','MEDIUM',2,'G','STEEL'
'A',35,'MATURE','RR','LONG',2,'G','STEEL'
'M',6,'MATURE','RR','MEDIUM',2,'G','STEEL'
'M',21,'MATURE','RR','MEDIUM',?,'G','STEEL'
