@relation pittsburgh_bridges2.3
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 {'CRAFTS','EMERGING','MATURE','MODERN'}
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 {'LONG','MEDIUM','SHORT'}
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'LONG','MEDIUM','SHORT'}
@data
'M',3,'CRAFTS','HIGHWAY',?,2,'N','SHORT'
'A',25,'CRAFTS','HIGHWAY','MEDIUM',2,'N','SHORT'
'A',39,'CRAFTS','AQUEDUCT',?,1,'N',?
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','SHORT'
'M',23,'CRAFTS','HIGHWAY',?,2,'N',?
'A',27,'CRAFTS','HIGHWAY','SHORT',2,'N','MEDIUM'
'A',28,'CRAFTS','AQUEDUCT','MEDIUM',1,'N','SHORT'
'M',3,'CRAFTS','HIGHWAY','MEDIUM',2,'N','SHORT'
'A',39,'CRAFTS','AQUEDUCT',?,1,'N',?
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','MEDIUM'
'A',39,'CRAFTS','RR',?,2,'N',?
'M',6,'CRAFTS','HIGHWAY','MEDIUM',2,'N','MEDIUM'
'A',33,'CRAFTS','HIGHWAY',?,2,'N',?
'A',28,'CRAFTS','RR',?,2,'N',?
'A',25,'CRAFTS','HIGHWAY','MEDIUM',2,'N','MEDIUM'
'M',4,'CRAFTS','RR','MEDIUM',2,'N','MEDIUM'
'A',28,'CRAFTS','RR','MEDIUM',2,'N','SHORT'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','MEDIUM'
'A',32,'EMERGING','HIGHWAY','MEDIUM',2,'N','MEDIUM'
'M',16,'EMERGING','RR',?,2,?,?
'M',1,'EMERGING','HIGHWAY','MEDIUM',?,?,'LONG'
'A',24,'EMERGING','HIGHWAY','MEDIUM',4,'G','SHORT'
'O',45,'EMERGING','RR',?,2,'G',?
'M',10,'EMERGING','RR',?,2,'G',?
'A',39,'EMERGING','RR',?,2,'G',?
'M',12,'EMERGING','RR','MEDIUM',2,'G','MEDIUM'
