@relation pittsburgh_bridges2.4
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 {'CRAFTS','EMERGING','MATURE','MODERN'}
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 {'LONG','MEDIUM','SHORT'}
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'F','S','S-F'}
@data
'M',3,'CRAFTS','HIGHWAY',?,2,'N','S'
'A',25,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S'
'A',39,'CRAFTS','AQUEDUCT',?,1,'N','S'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S'
'M',23,'CRAFTS','HIGHWAY',?,2,'N','S'
'A',27,'CRAFTS','HIGHWAY','SHORT',2,'N','S'
'A',28,'CRAFTS','AQUEDUCT','MEDIUM',1,'N','S'
'M',3,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S'
'A',39,'CRAFTS','AQUEDUCT',?,1,'N','S'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S'
'A',39,'CRAFTS','RR',?,2,'N','S'
'M',6,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S'
'A',33,'CRAFTS','HIGHWAY',?,2,'N','S'
'A',28,'CRAFTS','RR',?,2,'N','S'
'A',25,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S-F'
'M',4,'CRAFTS','RR','MEDIUM',2,'N',?
'A',28,'CRAFTS','RR','MEDIUM',2,'N','S'
'A',29,'CRAFTS','HIGHWAY','MEDIUM',2,'N','S'
'A',32,'EMERGING','HIGHWAY','MEDIUM',2,'N','S'
'M',16,'EMERGING','RR',?,2,?,?
'M',1,'EMERGING','HIGHWAY','MEDIUM',?,?,'F'
'A',24,'EMERGING','HIGHWAY','MEDIUM',4,'G','S'
'O',45,'EMERGING','RR',?,2,'G',?
'M',10,'EMERGING','RR',?,2,'G',?
'A',39,'EMERGING','RR',?,2,'G','F'
'M',12,'EMERGING','RR','MEDIUM',2,'G','S'
'A',31,'EMERGING','RR',?,2,'G','F'
'A',26,'EMERGING','HIGHWAY','MEDIUM',2,'G',?
'M',3,'EMERGING','HIGHWAY','MEDIUM',2,'G','S'
'A',30,'EMERGING','HIGHWAY',?,2,'G','F'
'M',8,'EMERGING','RR','MEDIUM',2,'G','S'
'O',41,'EMERGING','RR','LONG',2,'G','F'
'M',19,'EMERGING','HIGHWAY','MEDIUM',?,'G','F'
'O',45,'MATURE','HIGHWAY',?,2,'G','F'
'A',27,'MATURE','HIGHWAY','MEDIUM',2,'G','F'
'M',17,'MATURE','HIGHWAY',?,2,'G','F'
'M',18,'MATURE','RR','MEDIUM',2,'G','S'
'A',25,'MATURE','HIGHWAY',?,2,'G','F'
'A',27,'MATURE','AQUEDUCT','MEDIUM',1,'N','S'
'M',22,'MATURE','HIGHWAY',?,2,'G','F'
'M',11,'MATURE','HIGHWAY',?,2,'G','F'
'M',9,'MATURE','HIGHWAY','LONG',2,'G','F'
'O',48,'MATURE','HIGHWAY',?,2,'G','F'
'M',7,'MATURE','HIGHWAY','MEDIUM',2,'G','F'
'A',37,'MATURE','RR','LONG',2,'G','F'
'M',14,'MATURE','RR','LONG',?,'G','F'
