@relation robot_execution_failures_lp3
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute class {'lost','moved','ok','slightly_moved'}
@data
1,-2,-1,81,0,-5,0,'ok'
1,-2,-1,79,0,-4,0,'ok'
1,-2,-1,79,0,-4,0,'ok'
1,-2,-1,80,0,-4,0,'ok'
1,-3,-1,79,1,-5,1,'ok'
1,-2,-1,81,0,-5,0,'ok'
1,-2,-1,80,0,-4,0,'ok'
1,-2,-1,79,0,-4,0,'ok'
1,-2,-1,79,0,-4,0,'ok'
1,-2,-1,79,0,-4,0,'ok'
1,-2,-1,80,1,-4,0,'ok'
1,-1,-1,80,0,-4,1,'ok'
1,-2,-1,78,0,-5,0,'ok'
1,-3,-1,80,1,-4,1,'ok'
1,-2,-1,79,0,-4,0,'ok'
2,6,-1,79,-2,4,-3,'ok'
2,42,-3,80,5,53,3,'ok'
2,-5,4,74,-15,-10,-1,'ok'
2,-4,-17,93,26,-6,-3,'ok'
2,2,1,74,-6,-3,-4,'ok'
2,0,-5,78,3,-6,0,'ok'
2,-3,-7,83,8,-5,-3,'ok'
2,-6,2,71,-12,-11,1,'ok'
2,-3,3,76,-6,-9,-4,'ok'
2,-2,-9,86,16,-8,-2,'ok'
2,-4,2,77,-5,-7,2,'ok'
2,2,-3,81,7,1,9,'ok'
2,-1,-5,80,6,-6,0,'ok'
2,-4,5,78,-14,-9,-4,'ok'
2,-4,1,80,-3,-12,5,'ok'
3,-2,-6,85,14,-5,2,'ok'
3,0,2,74,-7,1,0,'ok'
3,-4,-5,76,7,-11,4,'ok'
3,-2,-2,78,1,-6,1,'ok'
3,-4,4,76,-18,-13,-10,'ok'
3,-2,4,74,-10,-9,-4,'ok'
3,1,-9,87,13,-2,-10,'ok'
3,-8,3,69,-13,-20,-5,'ok'
3,-1,0,83,-2,-6,-8,'ok'
3,-3,-6,83,6,-14,-5,'ok'
3,-3,8,73,-19,-11,-3,'ok'
3,-6,-1,80,-1,-20,6,'ok'
3,0,-9,87,13,-5,2,'ok'
3,-5,5,67,-17,-16,7,'ok'
3,-6,-10,86,16,-14,-1,'ok'
4,-2,-10,86,13,-7,-5,'ok'
4,-5,4,73,-16,-18,-2,'ok'
4,0,1,79,-5,-10,-4,'ok'
4,-2,-6,87,5,-12,-1,'ok'
4,-6,3,73,-16,-21,-5,'ok'
4,2,-9,84,7,-6,-9,'ok'
4,-1,-8,82,6,-8,0,'ok'
4,1,3,78,-11,-2,-5,'ok'
4,-3,-8,88,5,-13,-3,'ok'
4,-1,-1,81,-4,-10,-13,'ok'
4,-5,4,74,-17,-21,-15,'ok'
4,-4,-14,84,17,-17,-4,'ok'
4,1,-7,78,3,-7,-2,'ok'
4,-9,6,75,-18,-28,-9,'ok'
4,-1,-9,92,11,-15,-11,'ok'
5,0,2,74,-12,-9,-5,'ok'
5,-2,4,74,-16,-15,-3,'ok'
5,2,-9,85,11,-4,-6,'ok'
5,1,-3,77,-5,-11,-10,'ok'
5,1,-1,71,-7,-2,-3,'ok'
5,-5,-6,83,2,-21,-5,'ok'
5,-1,-6,77,-2,-17,-11,'ok'
5,-6,-2,77,-10,-25,-10,'ok'
5,-5,-10,90,7,-21,-9,'ok'
5,-1,5,75,-23,-16,-6,'ok'
5,-3,5,73,-19,-19,-6,'ok'
5,-4,-11,89,11,-14,-4,'ok'
5,-2,5,72,-18,-11,-9,'ok'
5,3,-3,74,-1,-7,-1,'ok'
5,-7,-13,88,12,-30,-3,'ok'
6,-2,3,70,-15,-18,-5,'ok'
6,-1,3,78,-16,-17,-4,'ok'
6,-1,-7,83,4,-14,-10,'ok'
6,0,-2,70,-12,-12,-7,'ok'
6,-4,-2,75,-6,-15,-5,'ok'
6,-7,-13,85,9,-26,-4,'ok'
6,0,1,75,-14,-9,-5,'ok'
6,3,-4,80,-2,-10,-10,'ok'
6,-3,-2,83,-10,-25,-5,'ok'
6,1,-5,81,0,-12,-8,'ok'
6,-6,0,77,-13,-31,-7,'ok'
6,-6,-9,83,3,-26,-5,'ok'
6,-6,0,77,-21,-27,-10,'ok'
6,-5,-9,84,5,-22,-10,'ok'
6,1,-3,79,-5,-16,-6,'ok'
7,-5,4,77,-20,-22,-6,'ok'
7,-4,-2,80,-8,-20,-3,'ok'
7,-4,-7,82,-1,-22,-9,'ok'
7,-1,-2,74,-7,-15,-7,'ok'
7,-4,-8,84,0,-24,-4,'ok'
7,-3,3,81,-24,-26,-13,'ok'
7,-2,2,80,-20,-22,-9,'ok'
7,-1,-7,82,-1,-18,-3,'ok'
7,-1,-2,78,-16,-21,-9,'ok'
7,1,-5,76,0,-10,-8,'ok'
7,-6,-3,82,-13,-28,-9,'ok'
7,-3,-5,77,-5,-20,-9,'ok'
7,-2,0,76,-19,-20,-14,'ok'
7,-3,-8,79,-4,-23,-11,'ok'
7,-5,0,78,-18,-25,-9,'ok'
8,-5,4,78,-28,-28,-9,'ok'
8,-4,-8,79,-5,-24,-14,'ok'
8,-1,-9,78,0,-17,-14,'ok'
8,-1,-1,78,-17,-21,-9,'ok'
8,1,-5,80,-12,-18,-7,'ok'
8,-3,3,78,-31,-23,-13,'ok'
8,0,-8,78,0,-16,-16,'ok'
8,-7,3,81,-29,-32,-12,'ok'
8,-7,1,79,-21,-29,-11,'ok'
8,-6,-1,79,-21,-29,-16,'ok'
8,-3,-11,77,0,-21,-1,'ok'
8,-1,-1,77,-19,-20,-8,'ok'
8,-1,4,77,-24,-20,-7,'ok'
8,0,-5,77,-6,-20,-10,'ok'
8,-2,-8,79,4,-21,-10,'ok'
9,-4,-2,81,-11,-24,-10,'ok'
9,-5,3,77,-29,-26,-6,'ok'
9,-5,2,81,-27,-25,-13,'ok'
9,-3,0,81,-28,-25,-12,'ok'
9,-1,-11,76,-2,-20,-2,'ok'
9,-2,-3,76,-20,-20,-7,'ok'
9,-2,-2,82,-20,-22,-14,'ok'
9,-4,3,76,-26,-23,-9,'ok'
9,-6,-7,83,-4,-29,-20,'ok'
9,-6,-2,79,-24,-29,-17,'ok'
9,-2,-9,79,-8,-24,-13,'ok'
9,-4,-5,78,-17,-23,-9,'ok'
9,-2,-4,81,-16,-22,2,'ok'
9,1,-9,74,-1,-19,-4,'ok'
9,-3,1,84,-17,-24,-11,'ok'
10,-3,1,84,-26,-22,-11,'ok'
10,-1,-2,76,-21,-20,-17,'ok'
10,-4,-2,78,-20,-27,-12,'ok'
10,-5,-5,83,-11,-28,-11,'ok'
10,0,-1,77,-22,-21,-18,'ok'
10,-1,2,82,-31,-18,-11,'ok'
10,-5,-6,80,-9,-29,-14,'ok'
10,-4,-13,76,6,-26,-11,'ok'
10,-9,-2,85,-17,-33,-13,'ok'
10,-5,2,83,-27,-25,-10,'ok'
10,-6,-5,78,-15,-27,-11,'ok'
10,-8,-2,81,-20,-33,-10,'ok'
10,-1,-1,84,-20,-18,-5,'ok'
10,-3,-10,73,-7,-19,-8,'ok'
10,-3,1,82,-24,-24,-1,'ok'
11,0,-4,80,-22,-22,-18,'ok'
11,0,-9,82,-9,-22,-8,'ok'
11,-2,0,82,-25,-22,-6,'ok'
11,-3,-2,80,-26,-23,-8,'ok'
11,-4,-6,74,-14,-25,-11,'ok'
11,-9,-1,87,-23,-31,-6,'ok'
11,-8,-1,84,-15,-28,-6,'ok'
11,0,-4,69,-17,-18,-1,'ok'
11,18,47,80,-85,8,-10,'ok'
11,-5,-2,82,-17,-32,-11,'ok'
11,-4,-16,76,-1,-22,-8,'ok'
11,2,1,81,-25,-13,-8,'ok'
11,-4,-2,83,-22,-23,-8,'ok'
11,-1,-6,76,-14,-22,-9,'ok'
11,-3,-1,83,-26,-24,-9,'ok'
12,2,-1,82,-1,-2,6,'ok'
12,4,0,84,3,4,-7,'ok'
12,-1,-6,84,6,-4,1,'ok'
12,-6,2,72,-6,-11,0,'ok'
12,-2,-4,80,6,-5,4,'ok'
12,2,-4,87,9,3,5,'ok'
12,-8,6,71,-12,-18,2,'ok'
12,0,-5,87,8,0,1,'ok'
12,0,-4,84,6,-2,4,'ok'
12,-4,7,69,-17,-7,0,'ok'
12,2,-9,84,13,-5,-1,'ok'
12,-2,-8,84,12,-3,2,'ok'
12,-5,0,68,-2,-16,0,'ok'
12,-2,-8,86,10,-6,2,'ok'
12,-4,-5,82,6,-8,-2,'ok'
13,-5,6,67,-15,-16,-7,'ok'
13,-3,-3,87,7,-11,-6,'ok'
13,-1,-2,83,2,-7,-5,'ok'
13,-4,6,71,-18,-14,4,'ok'
13,0,-5,85,6,-4,4,'ok'
13,-7,-3,81,2,-16,-3,'ok'
13,-4,4,73,-12,-13,-10,'ok'
