@relation robot_execution_failures_lp4
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute class {'collision','normal','obstruction'}
@data
1,-2,2,20,5,-6,-1,'normal'
1,-2,1,20,5,-6,0,'normal'
1,-2,1,23,5,-6,0,'normal'
1,-2,2,20,5,-6,-1,'normal'
1,-3,1,22,5,-6,-1,'normal'
1,-2,2,20,5,-6,-1,'normal'
1,-2,2,20,5,-6,-1,'normal'
1,-3,3,20,5,-6,-1,'normal'
1,-2,1,13,7,-3,-1,'normal'
1,-3,1,4,3,-7,0,'normal'
1,-1,0,13,4,-5,-1,'normal'
1,-4,3,15,2,-11,-1,'normal'
1,-1,2,29,7,-6,-1,'normal'
1,1,-1,23,9,2,0,'normal'
1,-2,2,29,3,-6,0,'normal'
2,-3,2,22,5,-8,0,'normal'
2,-2,2,19,5,-7,0,'normal'
2,-3,2,23,5,-7,0,'normal'
2,-2,2,22,5,-6,-1,'normal'
2,-2,2,20,5,-6,-1,'normal'
2,-2,2,23,5,-7,-1,'normal'
2,-2,2,20,5,-7,-1,'normal'
2,-2,2,22,4,-7,-1,'normal'
2,0,1,23,8,-4,0,'normal'
2,3,0,28,6,1,-1,'normal'
2,0,2,18,7,-5,-1,'normal'
2,-2,3,20,2,-7,0,'normal'
2,-4,3,22,4,-11,-1,'normal'
2,-2,2,6,5,-8,-1,'normal'
2,-3,3,24,4,-8,-1,'normal'
3,-2,2,20,5,-6,-1,'normal'
3,-2,2,19,5,-7,0,'normal'
3,-2,2,20,5,-6,-1,'normal'
3,-2,2,20,5,-6,-1,'normal'
3,-2,2,22,4,-7,-1,'normal'
3,-2,2,22,4,-7,-1,'normal'
3,-2,2,22,5,-6,-1,'normal'
3,-2,2,22,5,-5,-1,'normal'
3,-2,2,24,2,-6,0,'normal'
3,0,0,22,4,-3,-1,'normal'
3,-2,1,31,2,-6,-1,'normal'
3,-3,2,23,4,-8,-2,'normal'
3,-2,1,29,7,-5,-2,'normal'
3,-2,2,41,4,-5,-2,'normal'
3,-3,1,3,5,-6,0,'normal'
4,-2,2,20,5,-6,-1,'normal'
4,-3,1,18,4,-6,0,'normal'
4,-2,2,20,5,-6,-1,'normal'
4,-2,2,20,5,-6,-1,'normal'
4,-2,1,20,5,-6,0,'normal'
4,-3,1,20,5,-6,-1,'normal'
4,-2,2,20,3,-6,-1,'normal'
4,-2,2,20,5,-6,-1,'normal'
4,-3,1,9,7,-8,0,'normal'
4,-4,2,11,3,-7,-1,'normal'
4,-6,3,23,-2,-11,0,'normal'
4,-3,0,18,7,-10,0,'normal'
4,-4,0,17,4,-9,-1,'normal'
4,-4,0,32,4,-10,-1,'normal'
4,-2,1,30,5,-5,-1,'normal'
5,-2,2,20,4,-7,-1,'normal'
5,-2,1,19,5,-7,0,'normal'
5,-2,1,22,5,-6,0,'normal'
5,-2,1,20,5,-6,0,'normal'
5,-2,2,22,4,-7,-1,'normal'
5,-2,2,20,5,-6,-1,'normal'
5,-2,2,20,5,-7,-1,'normal'
5,-2,1,19,5,-7,0,'normal'
5,0,0,16,4,-1,0,'normal'
5,-3,2,20,3,-6,0,'normal'
5,-1,0,25,4,-6,-1,'normal'
5,-2,1,28,5,-4,0,'normal'
