instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
2,1,3,leaky_relu,64,1,0.5267522931098938,1.0288530588150024,0.99946129322052,0.05020061135292053,0.4319184124469757,0.9472215175628662,1.0009421110153198,0.05146782845258713
2,1,3,leaky_relu,64,2,0.4032878577709198,0.8765353560447693,0.9994808435440063,0.04731970280408859,0.38149750232696533,0.8860321640968323,1.0010902881622314,0.05038939416408539
2,1,3,leaky_relu,64,3,0.3585260212421417,0.8205025792121887,0.9997602701187134,0.04619549214839935,0.3568751811981201,0.8491519093513489,1.0010966062545776,0.049168411642313004
2,1,3,leaky_relu,64,4,0.33755314350128174,0.7898483276367188,0.9998065233230591,0.0452287420630455,0.342096745967865,0.8241942524909973,1.0007307529449463,0.04815177619457245
2,1,3,leaky_relu,64,5,0.3259727656841278,0.7705762386322021,0.9997634291648865,0.04446034133434296,0.3337249755859375,0.8059251308441162,1.0006308555603027,0.04716814309358597
2,1,3,leaky_relu,64,6,0.3170112073421478,0.7559043169021606,0.9996666312217712,0.043889451771974564,0.3255000412464142,0.7913164496421814,1.0004990100860596,0.046537846326828
2,1,3,leaky_relu,64,7,0.3085462152957916,0.7432805895805359,0.9995917081832886,0.043474555015563965,0.3186433017253876,0.7799956202507019,1.0005289316177368,0.04609759524464607
2,1,3,leaky_relu,64,8,0.3006320893764496,0.7324404716491699,0.999563992023468,0.043181873857975006,0.3089805543422699,0.7685294151306152,1.0004551410675049,0.045921020209789276
2,1,3,leaky_relu,64,9,0.29342198371887207,0.7237074375152588,0.9995236992835999,0.043030474334955215,0.30278030037879944,0.7624019384384155,1.0004512071609497,0.045930370688438416
2,1,3,leaky_relu,64,10,0.28704026341438293,0.716473400592804,0.999491810798645,0.042945556342601776,0.2960028052330017,0.7546414136886597,1.0004714727401733,0.04583509638905525
1,0,1,leaky_relu,32,1,0.788563072681427,1.4053832292556763,1.0088027715682983,0.06167289987206459,0.6889180541038513,1.2439372539520264,1.0091302394866943,0.05561112239956856
1,0,1,leaky_relu,32,2,0.6099943518638611,1.1625252962112427,1.0074043273925781,0.05524542182683945,0.531976580619812,1.0978549718856812,1.0082669258117676,0.05662167817354202
1,0,1,leaky_relu,32,3,0.4854338467121124,1.0353121757507324,1.0073927640914917,0.05498626083135605,0.4814893901348114,1.0448895692825317,1.009596824645996,0.05634605139493942
1,0,1,leaky_relu,32,4,0.46631211042404175,1.00765061378479,1.0079280138015747,0.054134368896484375,0.4755905568599701,1.0308771133422852,1.0104248523712158,0.05552397668361664
1,0,1,leaky_relu,32,5,0.46336138248443604,0.9921501278877258,1.0089834928512573,0.052880026400089264,0.4728899300098419,1.015894889831543,1.0118131637573242,0.05431690439581871
1,0,1,leaky_relu,32,6,0.4625858962535858,0.9784001708030701,1.0099599361419678,0.051583707332611084,0.4722108542919159,1.0092607736587524,1.0121012926101685,0.053734250366687775
1,0,1,leaky_relu,32,7,0.46251359581947327,0.9695824384689331,1.010331630706787,0.050709936767816544,0.47183144092559814,1.0044617652893066,1.012184739112854,0.0532894991338253
1,0,1,leaky_relu,32,8,0.4626067578792572,0.9631181955337524,1.010616660118103,0.05005445331335068,0.4718420207500458,1.000925064086914,1.0121676921844482,0.05293741822242737
1,0,1,leaky_relu,32,9,0.4622243046760559,0.9574964046478271,1.0109034776687622,0.04953096807003021,0.4710852801799774,0.9967617988586426,1.0122030973434448,0.052597299218177795
1,0,1,leaky_relu,32,10,0.4617384374141693,0.9515841603279114,1.011181116104126,0.04898899421095848,0.4709232747554779,0.9921650886535645,1.0123207569122314,0.0521591380238533
3,2,0,tanh,16,1,0.48146525025367737,1.3746744394302368,0.9997252225875854,0.08931498974561691,0.4153189957141876,1.0321482419967651,0.998576283454895,0.061653245240449905
3,2,0,tanh,16,2,0.40123292803764343,0.9816129803657532,0.9967231154441833,0.05804906785488129,0.4013576805591583,0.9814870953559875,0.9990068674087524,0.057981736958026886
3,2,0,tanh,16,3,0.3867213726043701,0.9300394058227539,0.9972363114356995,0.05434206873178482,0.3877042829990387,0.9400919079780579,0.9994016289710999,0.05519171804189682
3,2,0,tanh,16,4,0.379565566778183,0.906121551990509,0.9973776340484619,0.05266476050019264,0.38159772753715515,0.9232231974601746,0.9995100498199463,0.05411914736032486
